City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Karwar,IN,78.35,scattered clouds,14.8,74.1333,Netalco Connects
3,Rikitea,PF,73.15,broken clouds,-23.1203,-134.9692,People ThankYou
4,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
8,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
10,Cihuatlan,MX,87.48,scattered clouds,19.2366,-104.5651,Hotel Posada Agua Escondida
11,Atuona,PF,77.22,scattered clouds,-9.8,-139.0333,Villa Enata
12,Ribeira Grande,PT,74.64,broken clouds,38.5167,-28.7,Quinta da Meia Eira
13,Zhongxing,CN,81.45,broken clouds,33.7039,118.6792,New Century Grand Hotel Siyang
14,Biak,ID,75.29,overcast clouds,-0.9131,122.8766,Penginapan Kim
15,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
16,Port Blair,IN,80.96,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
17,Ixtapa,MX,87.03,broken clouds,20.7,-105.2,hotel la terminal
19,Pringsewu,ID,73.38,scattered clouds,-5.3582,104.9744,Urban Style by Front One
22,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
24,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
26,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
29,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
31,Sur,OM,89.53,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
33,Monrovia,LR,76.71,overcast clouds,6.3005,-10.7969,Sunset Inn
39,Jamestown,US,76.59,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
45,Tabug,PH,76.44,broken clouds,18.0343,120.5488,Sikatel Hotel
46,Tooele,US,87.96,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
47,Vieques,PR,85.66,broken clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
48,North Bend,US,78.24,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
49,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
52,Amasya,TR,71.28,clear sky,40.6667,35.8333,Lalehan Hotel
53,Shahr-E Babak,IR,73.96,clear sky,30.1165,55.1186,سلاطین مس و نقره
54,Roma,US,78.94,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
57,Butaritari,KI,81.99,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
59,Mombasa,KE,72.01,few clouds,-4.0547,39.6636,New Palm Tree Hotel
60,Millau,FR,82.53,few clouds,44.0833,2.9167,La Villa Des Raspes
64,Gerash,IR,87.94,broken clouds,27.6652,54.1371,Sa'adat House Gerash
65,Morlaix,FR,73.45,clear sky,48.5833,-4.0,Titulipe
66,Kalmunai,LK,79.2,overcast clouds,7.4167,81.8167,VS Villa
67,Manavalakurichi,IN,78.28,overcast clouds,8.1333,77.3,Jebinrio home
68,Portland,US,88.63,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
70,Manga,BF,78.85,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
71,Urazovo,RU,77.76,overcast clouds,50.0836,38.0395,Dvuluchenskiy Tskr
73,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
77,Owosso,US,76.48,clear sky,42.9978,-84.1766,Comstock Inn and Conference Center
78,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
80,Kavieng,PG,81.32,light rain,-2.5744,150.7967,Nusa Island Retreat
82,Port-Gentil,GA,73.36,few clouds,-0.7193,8.7815,Fengshui Residence
84,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
87,Porto Santo,PT,70.18,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
88,San Quintin,MX,77.49,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
91,Olinda,BR,78.53,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
92,Faanui,PF,78.24,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
94,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
97,Katsuura,JP,81.7,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
99,Semporna,MY,79.14,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
100,Sioux Lookout,CA,71.67,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
104,Bar Harbor,US,72.34,broken clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
108,Kieta,PG,81.19,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
110,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
113,Coahuayana,MX,85.71,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
114,Palu,ID,76.33,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
119,Nedryhayliv,UA,70.41,overcast clouds,50.834,33.8763,Staryi Mlyn
120,Ranong,TH,78.22,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
121,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
123,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
124,Bengkulu,ID,76.01,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
126,Southbridge,US,84.25,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
131,Kununurra,AU,71.58,clear sky,-15.7667,128.7333,Hotel Kununurra
135,Granada,ES,76.95,clear sky,37.25,-3.25,CORTIJO EL AVELLANO
139,Thompson,CA,78.96,scattered clouds,55.7435,-97.8558,Burntwood Hotel
140,Balkanabat,TM,85.41,clear sky,39.5108,54.3671,Nebitchi Hotel
144,Ocara,BR,74.14,overcast clouds,-4.4908,-38.5967,Pousada familiar
145,Jammalamadugu,IN,79.48,overcast clouds,14.8333,78.4,R and B Guest House
146,Touros,BR,76.33,few clouds,-5.1989,-35.4608,INN NEW HORIZON
150,Huangchuan,CN,81.82,overcast clouds,32.1272,115.0394,Guangzhou International Hotel
153,Hamilton,US,84.76,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
154,Iralaya,HN,82.15,scattered clouds,15.0,-83.2333,Iglesia morava renovada
155,Nishihara,JP,83.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
156,Prado,BR,73.29,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
157,Salinopolis,BR,79.47,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
159,Concarneau,FR,77.83,clear sky,47.875,-3.9225,Brit Hotel de L' Océan
160,Traverse City,US,73.83,few clouds,44.7631,-85.6206,Bayshore Resort
168,Wewak,PG,76.55,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
171,Takoradi,GH,74.64,overcast clouds,4.8845,-1.7554,Raybow International Hotel
173,Hithadhoo,MV,81.55,moderate rain,-0.6,73.0833,Scoop Guest House
179,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
180,Iquitos,PE,77.04,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
181,Nurota,UZ,71.46,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
183,Tura,IN,73.24,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
184,Sao Jose Da Coroa Grande,BR,74.86,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
186,Banda Aceh,ID,78.19,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
191,Haapiti,PF,82.13,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
194,Broome,US,81.54,clear sky,42.2506,-75.833,Chenango Valley State Park
195,Lorengau,PG,80.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
196,Ramsar,IR,80.04,broken clouds,36.9226,50.6426,Rasa Residential Hotel
197,Pacific Grove,US,86.38,clear sky,36.6177,-121.9166,Lovers Point Inn
198,Leshan,CN,77.76,broken clouds,29.5623,103.7639,Leshan Haiyun International Youth Hostel
208,Altamira,BR,87.89,few clouds,-3.2033,-52.2064,Requinte Hotel
212,Nanakuli,US,87.75,broken clouds,21.3906,-158.1547,Camp Pālehua
218,Waingapu,ID,75.9,few clouds,-9.6567,120.2641,Pondok Wisata Elim
220,Sechura,PE,72.97,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
221,Beterou,BJ,72.93,moderate rain,9.1992,2.2586,Monastère de Kokoubou
222,Honiara,SB,78.73,overcast clouds,-9.4333,159.95,Heritage Park Hotel
223,Gouyave,GD,86.77,few clouds,12.1646,-61.7296,Rumboat Retreat
226,Praia Da Vitoria,PT,73.65,scattered clouds,38.7333,-27.0667,Hotel Branco I
227,Lagoa,PT,73.49,light rain,39.05,-27.9833,Casa Das Faias
228,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
230,Noumea,NC,70.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
232,Machilipatnam,IN,82.92,overcast clouds,16.1667,81.1333,R&B Bungalow
236,Horodyshche,UA,70.84,overcast clouds,49.2849,31.4451,Noyev Kovcheh
237,Digha,IN,77.83,overcast clouds,21.6833,87.55,Khoniker Atithi
238,Ciro Marina,IT,74.07,scattered clouds,39.3732,17.126,Hotel Miramare
247,Sorong,ID,76.86,broken clouds,-0.8833,131.25,Waigo Splash Hotel
248,Sete,FR,77.95,clear sky,43.4018,3.6966,Hotel de Paris Sète
249,Sabang,ID,81.9,overcast clouds,5.8933,95.3214,Hotel Citra
250,Griffith,US,79.12,scattered clouds,41.5284,-87.4237,Apartment above Depot Bar
251,Goderich,CA,70.92,clear sky,43.7501,-81.7165,Harmony Inn
252,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
253,Meulaboh,ID,77.09,light rain,4.1363,96.1285,Kost Pria
257,Seoul,KR,72.79,fog,37.5683,126.9778,LOTTE HOTEL SEOUL
258,Tautira,PF,77.32,light rain,-17.7333,-149.15,Pension Oaoa
259,Basco,PH,84.27,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
261,Acarau,BR,77.88,overcast clouds,-2.8856,-40.12,castelo pizzaria
263,Rurrenabaque,BO,73.22,clear sky,-14.4413,-67.5278,Casa de Campo
267,Ewa Beach,US,87.75,broken clouds,21.3156,-158.0072,Base Lodging
269,Namangan,UZ,73.85,clear sky,40.9983,71.6726,SPA ЦЕНТР BALI
270,Dingle,PH,75.87,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
274,Maturin,VE,80.51,broken clouds,9.75,-63.1767,Hotel Residencial La Pichincha
277,Cockburn Town,TC,81.84,clear sky,21.4612,-71.1419,Osprey Beach Hotel
278,Tirano,IT,72.46,overcast clouds,46.2154,10.1679,Hotel Corona Tirano
279,Mahibadhoo,MV,80.4,scattered clouds,3.7833,72.9667,Omadhoo Inn
281,Entre Rios,BR,70.95,clear sky,-11.9419,-38.0844,Pousada Porteira
283,Palmer,US,86.25,broken clouds,42.1584,-72.3287,Wedgewood Motel
288,Mitsamiouli,KM,74.86,clear sky,-11.3847,43.2844,Foyer ADM
289,Teacapan,MX,88.12,overcast clouds,22.55,-105.75,Hotel los Mangos
293,Jinchang,CN,77.5,few clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
296,Las Cruces,US,83.16,clear sky,32.3123,-106.7783,SpringHill Suites by Marriott Las Cruces
297,Daru,PG,76.71,overcast clouds,-9.0763,143.2092,Daru Lodge
298,Cabras,IT,72.25,clear sky,39.93,8.5314,Hotel Villa Canu
303,Sile,TR,72.27,clear sky,41.1754,29.6133,Phellos Suites
304,Hami,CN,85.05,scattered clouds,42.8,93.45,Laoyutang Resort
307,Kralendijk,BQ,85.98,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
311,Ponta Do Sol,PT,71.71,broken clouds,32.6667,-17.1,Hotel do Campo
312,Rangpur,BD,78.87,scattered clouds,25.75,89.25,Hotel Shah Amanat
314,Conceicao Do Araguaia,BR,85.26,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
315,Guilin,CN,75.31,clear sky,25.2819,110.2864,Grand 0773 Hotel
316,Rahden,DE,73.36,clear sky,52.4333,8.6167,Hotel Westfalen Hof
319,Asfi,MA,71.53,clear sky,32.2994,-9.2372,Hôtel Abda
322,Hasaki,JP,82.8,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
324,Bujaru,BR,78.19,overcast clouds,-1.515,-48.0447,Hotel & Restaurante Beira Rio
326,Bac Giang,VN,77.07,overcast clouds,21.2667,106.2,Ravatel Home Hotel
327,Wajir,KE,73.54,scattered clouds,1.7471,40.0573,Mahatallah Hotel
329,Ibra,OM,87.87,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
330,Sinnamary,GF,80.1,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
333,Bethel,US,88.74,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
334,Caravelas,BR,72.99,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
335,Vanimo,PG,78.67,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
338,Auki,SB,79.32,overcast clouds,-8.7676,160.7034,Auki Motel
340,Pingyi,CN,79.25,overcast clouds,35.5006,117.6308,Yiranju Hotel
344,Ternate,ID,80.19,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
346,Astoria,US,81.72,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
347,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Pirineos
348,Kaffrine,SN,81.1,broken clouds,14.1059,-15.5508,Beuleup counda motel
352,Ghatanji,IN,74.57,broken clouds,20.1333,78.3167,गजानन माहराज मदील घाटजी
355,Mankera,PK,86.29,clear sky,31.3866,71.4407,Haider Wood Supplier
